package	title	creator	description	version	trackers_num	trackers	perm_num_total	perm_num_dang	perm_normal	perm_dang
ru.sberbankmobile	СберБанк Онлайн – с Салютом	ПАО Сбербанк	Больше чем банк	12.20.0	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core	44	10	android.permission.SYSTEM_ALERT_WINDOW,android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.GET_TASKS,android.permission.QUERY_ALL_PACKAGES,android.permission.WRITE_EMBEDDED_SUBSCRIPTIONS,android.permission.RECEIVE_BOOT_COMPLETED,ru.sberbankmobile.permission.PROCESS_PUSH_MSG,ru.sberbankmobile.permission.PUSH_PROVIDER,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.USE_FINGERPRINT,android.permission.INTERNET,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.USE_BIOMETRIC,android.permission.WRITE_SETTINGS,android.permission.REQUEST_DELETE_PACKAGES,android.permission.BLUETOOTH,android.permission.CHANGE_WIFI_STATE,android.permission.QUICKBOOT_POWERON,android.permission.CHANGE_NETWORK_STATE,android.permission.FOREGROUND_SERVICE,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS,android.permission.MANAGE_EXTERNAL_STORAGE,com.google.android.gms.permission.AD_ID,android.permission.BLUETOOTH_ADMIN,com.google.android.c2dm.permission.RECEIVE,android.permission.VIBRATE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.NFC,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_COARSE_UPDATES	android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.CALL_PHONE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA
ru.vtb24.mobilebanking.android	ВТБ Онлайн	Банк ВТБ (ПАО)	Мобильное приложение ВТБ Онлайн	16.15.0.0	4	Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core,OpenTelemetry (OpenCensus, OpenTracing)	55	13	android.permission.ACCESS_WIFI_STATE,com.huawei.permission.external_app_settings.USE_COMPONENT,android.permission.AUTHENTICATE_ACCOUNTS,ru.vtb24.mobilebanking.android.permission.PROCESS_PUSH_MSG,oppo.permission.OPPO_COMPONENT_SAFE,android.permission.INTERNET,android.permission.ACCESS_BACKGROUND_LOCATION,com.google.android.gms.permission.AD_ID,ru.vtb24.mobilebanking.android.permission.pushserver.RECEIVE,android.permission.READ_SYNC_SETTINGS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.MANAGE_ACCOUNTS,ru.vtb.sdk.unp.permission.MESSAGING_EVENT,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_NETWORK_STATE,android.permission.NFC,android.permission.VIBRATE,com.android.launcher.permission.INSTALL_SHORTCUT,android.permission.WRITE_SYNC_SETTINGS,android.permission.GET_TASKS,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.USE_FINGERPRINT,android.permission.CHANGE_WIFI_STATE,ru.vtb.mobilebanking.widget.pushinbox.api.permission.WIDGET_REFRESH_EVENT,android.permission.MODIFY_AUDIO_SETTINGS,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.REQUEST_DELETE_PACKAGES,ru.vtb24.mobilebanking.android.permission.PUSH_PROVIDER,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.USE_BIOMETRIC,android.permission.BLUETOOTH,android.permission.REORDER_TASKS,android.permission.BLUETOOTH_ADMIN,android.permission.BIND_REMOTEVIEWS,ru.vtb.sdk.unp.permission.INIT_EVENT,android.permission.WRITE_INTERNAL_STORAGE,android.permission.FOREGROUND_SERVICE,android.permission.BROADCAST_STICKY,android.permission.QUERY_ALL_PACKAGES	android.permission.CALL_PHONE,android.permission.WRITE_CONTACTS,android.permission.ACCESS_COARSE_LOCATION,android.permission.GET_ACCOUNTS,android.permission.CAMERA,android.permission.READ_CONTACTS,android.permission.WRITE_CALENDAR,android.permission.READ_CALENDAR,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.RECORD_AUDIO,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE
ru.nspk.sbpay	СБПэй	АО «НСПК»	СБПэй – приложение бесконтактной оплаты.	1.5.2.41	0		19	2	android.permission.REQUEST_INSTALL_PACKAGES,ru.nspk.sbpay.DOCUMENT_VIEW,android.permission.WAKE_LOCK,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_CREDENTIALS,android.permission.NFC,ru.nspk.sbpay.permission.PROCESS_PUSH_MSG,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.c2dm.permission.RECEIVE,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,android.permission.FOREGROUND_SERVICE,ru.nspk.sbpay.permission.PUSH_PROVIDER,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.INTERNET	android.permission.GET_ACCOUNTS,android.permission.CAMERA
ru.nspk.mirpay	Mir Pay	АО «НСПК»	Мобильное приложение ПС «Мир»	1.12.1.4	0		19	2	android.permission.NFC,android.permission.REQUEST_INSTALL_PACKAGES,ru.nspk.mirpay.permission.PROCESS_PUSH_MSG,android.permission.RECEIVE_BOOT_COMPLETED,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.ACCESS_NETWORK_STATE,ru.nspk.mirpay.DOCUMENT_VIEW,com.google.android.c2dm.permission.RECEIVE,ru.nspk.mirpay.permission.PUSH_PROVIDER,android.permission.INTERNET,android.permission.USE_CREDENTIALS,android.permission.ACCESS_WIFI_STATE,android.permission.WAKE_LOCK,android.permission.FOREGROUND_SERVICE,android.permission.VIBRATE	android.permission.GET_ACCOUNTS,android.permission.CAMERA
ru.alfabank.mobile.android	Альфа-Банк	"АО ""Альфа-Банк"""	Мобильное приложение Альфа-Банка	11.54.06	10	AppsFlyer,Flurry,Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Snowplow,Microsoft Visual Studio App Center Crashes,Microsoft Visual Studio App Center Analytics,Huawei Mobile Services (HMS) Core	35	10	android.permission.ACCESS_NETWORK_STATE,android.permission.USE_FINGERPRINT,ru.alfabank.mobile.android.permission.pushserver.RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.CHANGE_WIFI_STATE,android.permission.REQUEST_DELETE_PACKAGES,com.google.android.c2dm.permission.RECEIVE,android.permission.BLUETOOTH,android.permission.MODIFY_AUDIO_SETTINGS,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.REQUEST_INSTALL_PACKAGES,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.WAKE_LOCK,android.permission.BLUETOOTH_ADMIN,android.permission.FOREGROUND_SERVICE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.VIBRATE,android.permission.NFC,android.permission.FLASHLIGHT,android.permission.USE_BIOMETRIC,com.google.android.gms.permission.AD_ID,android.permission.INTERNET,android.permission.ACCESS_WIFI_STATE,android.permission.HIGH_SAMPLING_RATE_SENSORS	android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.WRITE_CONTACTS,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,android.permission.RECORD_AUDIO,android.permission.CAMERA,android.permission.READ_CONTACTS
ru.vtb.invest	ВТБ Мои Инвестиции	Банк ВТБ (ПАО)	ВТБ Мои Инвестиции — ваш личный помощник	2.29.0-production	2	Google Firebase Analytics,AppMetrica	36	6	android.permission.WAKE_LOCK,android.permission.INTERNET,com.huawei.android.launcher.permission.CHANGE_BADGE,com.sec.android.provider.badge.permission.READ,com.huawei.android.launcher.permission.READ_SETTINGS,com.sec.android.provider.badge.permission.WRITE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FOREGROUND_SERVICE,me.everything.badger.permission.BADGE_COUNT_WRITE,android.permission.ACCESS_WIFI_STATE,android.permission.VIBRATE,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_FINGERPRINT,com.htc.launcher.permission.READ_SETTINGS,com.oppo.launcher.permission.READ_SETTINGS,com.oppo.launcher.permission.WRITE_SETTINGS,com.majeur.launcher.permission.UPDATE_BADGE,android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_APP_BADGE,me.everything.badger.permission.BADGE_COUNT_READ,com.htc.launcher.permission.UPDATE_SHORTCUT,com.huawei.android.launcher.permission.WRITE_SETTINGS,com.android.vending.CHECK_LICENSE,com.sonymobile.home.permission.PROVIDER_INSERT_BADGE,com.anddoes.launcher.permission.UPDATE_COUNT,com.google.android.c2dm.permission.RECEIVE,com.sonyericsson.home.permission.BROADCAST_BADGE,android.permission.REQUEST_INSTALL_PACKAGES,com.google.android.gms.permission.AD_ID,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE	android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_PHONE_STATE,android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.WRITE_EXTERNAL_STORAGE
ru.nspk.mir.loyalty	Привет, Мир! — акции и кешбэк	АО «НСПК»	Выгоды платежной системы «Мир»	1.8.3	4	Google CrashLytics,Google Firebase Analytics,Google Tag Manager,AppMetrica	14	3	com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.VIBRATE,android.permission.INTERNET,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,android.permission.FOREGROUND_SERVICE,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_BIOMETRIC,android.permission.ACCESS_WIFI_STATE,com.google.android.gms.permission.AD_ID,android.permission.FLASHLIGHT	android.permission.CAMERA,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION
ru.sberbank.spasibo	СберСпасибо	ПАО Сбербанк	Программа лояльности СберБанка	5.4.0	6	AppsFlyer,Google CrashLytics,Google Analytics,Google Firebase Analytics,AppMetrica,myTracker	15	5	android.permission.USE_FINGERPRINT,android.permission.VIBRATE,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_BIOMETRIC,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,com.google.android.gms.permission.AD_ID,android.permission.INTERNET	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.CAMERA,android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION
logo.com.mbanking	ПСБ	 ПАО Промсвязьбанк	Мобильный. Удобный. Сделан с любовью	3.56.0	6	Google CrashLytics,Google Analytics,Google Firebase Analytics,Google Tag Manager,Huawei Mobile Services (HMS) Core,Facebook Flipper	29	8	logo.com.mbanking.permission.pushserver.RECEIVE,android.permission.INTERNET,android.permission.NFC,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,com.google.android.providers.gsf.permission.READ_GSERVICES,android.permission.WAKE_LOCK,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.REQUEST_INSTALL_PACKAGES,android.permission.FLASHLIGHT,android.permission.ACCESS_NETWORK_STATE,android.permission.USE_FINGERPRINT,android.permission.VIBRATE,psb.com.mbanking.permission.MAPS_RECEIVE,android.permission.RECEIVE_BOOT_COMPLETED,com.google.android.c2dm.permission.RECEIVE,logo.com.mbanking.permission.PROCESS_PUSH_MSG,logo.com.mbanking.permission.PUSH_PROVIDER,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.ACCESS_WIFI_STATE,android.permission.USE_BIOMETRIC,android.permission.FOREGROUND_SERVICE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,android.permission.READ_CONTACTS,android.permission.READ_PHONE_NUMBERS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.CAMERA
ru.yoo.money	ЮMoney: кошелёк, карты, кэшбэк	ООО НКО «ЮМани»	А ещё шопинг, платежи и переводы	11.5.0	5	AppsFlyer,Google CrashLytics,Google Firebase Analytics,AppMetrica,Huawei Mobile Services (HMS) Core	37	8	android.permission.REORDER_TASKS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.CHANGE_WIFI_STATE,android.permission.BLUETOOTH_ADMIN,android.permission.REQUEST_INSTALL_PACKAGES,com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE,android.permission.FLASHLIGHT,android.permission.MANAGE_ACCOUNTS,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE,android.permission.USE_FINGERPRINT,ru.yoo.money.permission.PROCESS_PUSH_MSG,ru.yoo.money.permission.PUSH_PROVIDER,android.permission.WRITE_SYNC_SETTINGS,com.huawei.appmarket.service.commondata.permission.GET_COMMON_DATA,android.permission.FOREGROUND_SERVICE,com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,android.permission.BLUETOOTH,android.permission.INTERNET,android.permission.BROADCAST_CLOSE_SYSTEM_DIALOGS,com.google.android.gms.permission.ACTIVITY_RECOGNITION,com.yandex.yphone.permission.WRITE,android.permission.NFC,ru.yoo.money.permission.PROVIDER_SERVICE,android.permission.USE_BIOMETRIC,android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,android.permission.ACCESS_WIFI_STATE	android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_COARSE_LOCATION,android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,android.permission.READ_PHONE_STATE,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_CONTACTS,android.permission.CAMERA
